,genre,rate,name,url
12899,"Casual,Free to Play,Indie", Need more user reviews to generate a score,crusadersofthelostidolsbaenarallepicstarterpack,https://store.steampowered.com/app/799480/Crusaders_of_the_Lost_Idols_Baenarall_Epic_Starter_Pack/
12900,Strategy, Need more user reviews to generate a score,ancestorslegacydigitalartbook,https://store.steampowered.com/app/799330/Ancestors_Legacy__Digital_Artbook/
12901,Strategy, Need more user reviews to generate a score,ancestorslegacydigitalsoundtrack,https://store.steampowered.com/app/799331/Ancestors_Legacy__Digital_Soundtrack/
12902,Indie, 100,arcademoonlanderplus,https://store.steampowered.com/app/727020/Arcade_Moonlander_Plus/
12903,"Adventure,Indie", Need more user reviews to generate a score,doyouknowdewayost,https://store.steampowered.com/app/806430/Do_you_know_de_way__OST/
12904,Indie, Need more user reviews to generate a score,rollingball,https://store.steampowered.com/app/806240/RollingBall/
12905,"Action,Free to Play,Massively Multiplayer,Racing", Need more user reviews to generate a score,crossoutironshieldpack,https://store.steampowered.com/app/806120/Crossout__Iron_Shield_Pack/
12906,"Casual,Indie,Strategy", 92,milkywaymap,https://store.steampowered.com/app/806020/Milky_Way_Map/
12907,"Action,Casual,Indie,Simulation", Need more user reviews to generate a score,starmaninspace,https://store.steampowered.com/app/804440/Starman_in_space/
12908,"Action,Early Access", Need more user reviews to generate a score,aturdslife,https://store.steampowered.com/app/804400/A_Turds_Life/
12909,"Action,Adventure,Casual,Indie", Need more user reviews to generate a score,clickraidgoldsupporterpack,https://store.steampowered.com/app/804310/ClickRaid__Gold_Supporter_Pack/
12910,"Indie,Strategy,Early Access", Need more user reviews to generate a score,swappertiles,https://store.steampowered.com/app/801660/Swapper_Tiles/
12911,"Adventure,Casual,Indie", 81,onlyyou,https://store.steampowered.com/app/801510/Only_You/
12912,"Indie,RPG", Need more user reviews to generate a score,hiddenlife,https://store.steampowered.com/app/801410/Hidden_Life/
12913,"Adventure,Indie,RPG", Need more user reviews to generate a score,alumsoundtrack,https://store.steampowered.com/app/372100/Alum__Soundtrack/
12914,"Casual,Indie,Simulation", Need more user reviews to generate a score,wannamine,https://store.steampowered.com/app/801500/WannaMine/
12915,"Casual,Indie",0,fulldivago,https://store.steampowered.com/bundle/11017/Full_DIVA_Go/
12916,"Indie,RPG,Strategy", 89,ananiasroguelike,https://store.steampowered.com/app/372080/Ananias_Roguelike/
12917,"Casual,Indie,Simulation", 91,mysocalledfuturegirlfriend미래의여친님이나에게인사를건네왔다,https://store.steampowered.com/app/976420/My_socalled_future_girlfriend/
12918,"Action,Adventure,Indie", 80,staradvent,https://store.steampowered.com/app/804210/Star_Advent/
12919,"Adventure,Casual", 94,ashowofkindness,https://store.steampowered.com/app/974840/A_Show_of_Kindness/
12920,Casual, Need more user reviews to generate a score,gemsofmagiclostfamily,https://store.steampowered.com/app/970030/Gems_of_Magic_Lost_Family/
12921,"Casual,Free to Play,Indie", 90,breathepeaceworld,https://store.steampowered.com/app/968310/Breathe_Peace_World/
12922,"Indie,Simulation", 92,musynxforeverfriends,https://store.steampowered.com/app/963060/MUSYNX__Forever_Friends/
12923,Design & Illustration, Need more user reviews to generate a score,photographicdesigner16steamedition,https://store.steampowered.com/app/961990/Photo__Graphic_Designer_16_Steam_Edition/
12924,"Adventure,Casual,RPG,Strategy", Need more user reviews to generate a score,tomoyoafterclannadtomoyoafterpianoarrangealbumpianonomori,https://store.steampowered.com/app/952900/Tomoyo_After__CLANNADTomoyo_After_Piano_Arrange_Album_Piano_no_Mori/
12925,"Simulation,Strategy", 95,survivingmarsmarsvisionsongcontest,https://store.steampowered.com/app/952891/Surviving_Mars_Marsvision_Song_Contest/
12926,"Action,Adventure,Indie,Massively Multiplayer,RPG", Need more user reviews to generate a score,skineastfoundiantrooper,https://store.steampowered.com/app/945070/Skin__Eastfoundian_Trooper/
12927,"Free to Play,Indie", 81,zombieschool丧尸学院,https://store.steampowered.com/app/943290/Zombie_school/
12928,"Indie,Strategy", 97,syrianwarfarebattlefields,https://store.steampowered.com/app/938490/Syrian_Warfare_Battlefields/
12929,"Casual,Indie,RPG,Simulation", 81,hentaitheshellgame,https://store.steampowered.com/app/938250/Hentai_The_Shell_Game/
12930,"Adventure,Casual,Indie,RPG", Need more user reviews to generate a score,jackquestthetaleofthesword,https://store.steampowered.com/app/937050/JackQuest_The_Tale_of_The_Sword/
12931,"Adventure,Casual,Indie", Need more user reviews to generate a score,怪奇幻想夢物語怪獣綺譚桜蛇伝,https://store.steampowered.com/app/936150/_/
12932,"Action,Casual,Indie", Need more user reviews to generate a score,rethink2,https://store.steampowered.com/app/934410/ReThink_2/
12933,"Indie,Simulation", 90,aeroflyfs2orbxnetherlandstrueearth,https://store.steampowered.com/app/932760/Aerofly_FS_2__Orbx__Netherlands_TrueEarth/
12934,Indie, 100,rivalsofaethershovelknight,https://store.steampowered.com/app/930660/Rivals_of_Aether_Shovel_Knight/
12935,"Indie,Strategy", Need more user reviews to generate a score,lostfrontier,https://store.steampowered.com/app/928970/Lost_Frontier/
12936,"Casual,Indie", Need more user reviews to generate a score,countlogica,https://store.steampowered.com/app/928660/Count_Logica/
12937,"Action,Adventure,Indie", Need more user reviews to generate a score,meatpossiblechapter15,https://store.steampowered.com/app/922810/MeatPossible_Chapter_15/
12938,"Casual,Indie",0,birdcouplefull,https://store.steampowered.com/bundle/10682/Bird_couple_FULL/
12939,"Adventure,Casual,Indie,Free to Play",0,digimightcompletepack,https://store.steampowered.com/bundle/10127/DigiMight_Complete_Pack/
12940,Simulation, Need more user reviews to generate a score,bnsfwagonpackaddon,https://store.steampowered.com/app/275138/BNSF_Wagon_Pack_AddOn/
12941,Simulation, Need more user reviews to generate a score,tsmarketplaceclass465southeasternliverypackaddon,https://store.steampowered.com/app/275134/TS_Marketplace_Class_465_Southeastern_Livery_Pack_AddOn/
12942,Simulation, Need more user reviews to generate a score,tsmarketplaceconnexsouthcentralclass319liveryaddon,https://store.steampowered.com/app/275125/TS_Marketplace_Connex_South_Central_Class_319_Livery_AddOn/
12943,Simulation, Need more user reviews to generate a score,trainsimulatorunionpacificgp50locoaddon,https://store.steampowered.com/app/222634/Train_Simulator_Union_Pacific_GP50_Loco_AddOn/
12944,Simulation, 83,trainsimulatornetworksoutheastclass159dmuaddon,https://store.steampowered.com/app/222633/Train_Simulator_Network_SouthEast_Class_159_DMU_AddOn/
12945,"Action,Adventure,Indie,RPG", 92,highstrangeness,https://store.steampowered.com/app/268340/High_Strangeness/
12946,Action, 87,callofdutyghostswolfskin,https://store.steampowered.com/app/268101/Call_of_Duty_Ghosts__Wolf_Skin/
12947,Action, Need more user reviews to generate a score,callofdutyghostsfestivepersonalizationpack,https://store.steampowered.com/app/268100/Call_of_Duty_Ghosts__Festive_Personalization_Pack/
12948,"Adventure,Indie,RPG,Strategy", 94,dungeonoftheendlesscrystaleditionupgrade,https://store.steampowered.com/app/268080/Dungeon_of_the_Endless__Crystal_Edition_Upgrade/
12949,Utilities, 100,modlab,https://store.steampowered.com/app/768970/ModLab/
12950,Simulation, 92,trainsimulatordbbr111locoaddon,https://store.steampowered.com/app/222598/Train_Simulator_DB_BR111_Loco_AddOn/
12951,"Animation & Modeling,Education,Utilities,Web Publishing", Need more user reviews to generate a score,clickteamfusion25developerupgrade,https://store.steampowered.com/app/267810/Clickteam_Fusion_25_Developer_Upgrade/
12952,Simulation, 92,trainsimulatorgemlclass90locoaddon,https://store.steampowered.com/app/222597/Train_Simulator_GEML_Class_90_Loco_AddOn/
12953,Simulation, 93,trainsimulatorunionpacificheritagesd70aceslocoaddon,https://store.steampowered.com/app/222596/Train_Simulator_Union_Pacific_Heritage_SD70ACes_Loco_AddOn/
12954,"Action,Indie", Need more user reviews to generate a score,guncrafthorrorsfxpack,https://store.steampowered.com/app/259121/Guncraft_Horror_SFX_Pack/
12955,Simulation, Need more user reviews to generate a score,trainsimulatorbrdp1delticlocoaddon,https://store.steampowered.com/app/222595/Train_Simulator_BR_DP1_Deltic_Loco_AddOn/
12956,"Action,Indie", Need more user reviews to generate a score,guncraftscifisfxpack,https://store.steampowered.com/app/259120/Guncraft_SciFi_SFX_Pack/
12957,"Casual,Indie", 100,soundodgersoundtrack,https://store.steampowered.com/app/259110/Soundodger_Soundtrack/
12958,Simulation, Need more user reviews to generate a score,trainsimulatorbrclass14locoaddon,https://store.steampowered.com/app/222630/Train_Simulator_BR_Class_14_Loco_AddOn/
12959,"Action,Adventure,Indie,RPG", 80,vanhelsingarcanemechanic,https://store.steampowered.com/app/215536/Van_Helsing_Arcane_Mechanic/
12960,"Casual,Indie,RPG,Strategy", Need more user reviews to generate a score,swordofthestarsthepitgoldeditiondlc,https://store.steampowered.com/app/258930/Sword_of_the_Stars_The_Pit__Gold_Edition_DLC/
12961,"Casual,Indie,Strategy", Need more user reviews to generate a score,hivethemosquito,https://store.steampowered.com/app/258852/Hive__The_Mosquito/
12962,"Casual,Indie,Strategy", Need more user reviews to generate a score,hivethepillbug,https://store.steampowered.com/app/258850/Hive__The_Pillbug/
12963,"Design & Illustration,Web Publishing", Need more user reviews to generate a score,rpgmakervxacemodernmusicmegapack,https://store.steampowered.com/app/258745/RPG_Maker_VX_Ace__Modern_Music_MegaPack/
12964,"Design & Illustration,Web Publishing", 91,rpgmakervxaceoldschoolmodernresourcepack,https://store.steampowered.com/app/258744/RPG_Maker_VX_Ace__Old_School_Modern_Resource_Pack/
12965,Simulation, Need more user reviews to generate a score,bnwagonpack01,https://store.steampowered.com/app/256523/BN_Wagon_Pack_01/
12966,Indie, Need more user reviews to generate a score,hateplusoriginalsoundtrack,https://store.steampowered.com/app/257290/Hate_Plus_Original_Soundtrack/
12967, , Need more user reviews to generate a score,guacameleesoundtrack,https://store.steampowered.com/app/257020/Guacamelee_Soundtrack/
12968,"Action,Adventure,Indie,RPG", 85,vanhelsingthaumaturge,https://store.steampowered.com/app/215535/Van_Helsing_Thaumaturge/
12969,Simulation, Need more user reviews to generate a score,constructionscenerypack,https://store.steampowered.com/app/256520/Construction_Scenery_Pack/
12970,"Strategy,Casual", Need more user reviews to generate a score,agameofdwarvespets,https://store.steampowered.com/app/222223/A_Game_of_Dwarves_Pets/
12971,"Action,Indie,Racing", 93,zombiedriverhdburninggardenofslaughter,https://store.steampowered.com/app/220825/Zombie_Driver_HD_Burning_Garden_of_Slaughter/
12972,"Action,Indie,Racing", 90,zombiedriverhdapocalypsepack,https://store.steampowered.com/app/220823/Zombie_Driver_HD_Apocalypse_Pack/
12973,"Action,Indie,Racing", 94,zombiedriverhdtropicalracerage,https://store.steampowered.com/app/220824/Zombie_Driver_HD_Tropical_Race_Rage/
12974,"Action,Free to Play,Massively Multiplayer,RPG", 85,dungeonsdragonsonlinecatacombsstarterpack,https://store.steampowered.com/app/213197/Dungeons__Dragons_Online_Catacombs_Starter_Pack/
12975,"Action,Indie,Strategy", Need more user reviews to generate a score,awesomenautspimpygskin,https://store.steampowered.com/app/204318/Awesomenauts__Pimpy_G_Skin/
12976,Strategy, Need more user reviews to generate a score,coh2germancommanderspearheaddoctrine,https://store.steampowered.com/app/231466/CoH_2__German_Commander_Spearhead_Doctrine/
12977,Strategy, Need more user reviews to generate a score,coh2sovietcommanderarmoredassaulttactics,https://store.steampowered.com/app/231456/CoH_2__Soviet_Commander_Armored_Assault_Tactics/
12978,Strategy, Need more user reviews to generate a score,coh2germancommanderlightningwardoctrine,https://store.steampowered.com/app/231465/CoH_2__German_Commander_Lightning_War_Doctrine/
12979,Simulation, 81,trainsimulatorsouthernpacificsd45locoaddon,https://store.steampowered.com/app/222551/Train_Simulator_Southern_Pacific_SD45_Loco_AddOn/
12980,Simulation, 96,trainsimulatorwesternlinesofscotlandrouteaddon,https://store.steampowered.com/app/222554/Train_Simulator_Western_Lines_of_Scotland_Route_AddOn/
12981,"Adventure,Casual,Indie", 89,evilcome,https://store.steampowered.com/app/757720/Evil_Come/
12982,"Casual,Simulation", Need more user reviews to generate a score,rocksmithblueoystercultburninforyou,https://store.steampowered.com/app/222100/Rocksmith__Blue_Oyster_Cult__Burnin_for_You/
12983,Simulation, Need more user reviews to generate a score,citiesinmotiondesignquirks,https://store.steampowered.com/app/206718/Cities_in_Motion_Design_Quirks/
12984,"Design & Illustration,Web Publishing", 83,rpgmakervxacedsresourcepack,https://store.steampowered.com/app/229754/RPG_Maker_VX_Ace__DS_Resource_Pack/
12985,"Design & Illustration,Web Publishing", 100,rpgmakervxacemoderndaytilesresourcepack,https://store.steampowered.com/app/229752/RPG_Maker_VX_Ace__Modern_Day_Tiles_Resource_Pack/
12986,"RPG,Web Publishing", Need more user reviews to generate a score,rpgmakervxacehighfantasyresourcebundleii,https://store.steampowered.com/app/229751/RPG_Maker_VX_Ace__High_Fantasy_Resource_Bundle_II/
12987, , 90,rpgmakervxacefuturistictilesresourcepack,https://store.steampowered.com/app/229750/RPG_Maker_VX_Ace__Futuristic_Tiles_Resource_Pack/
12988,Action, Need more user reviews to generate a score,painkillerhelldamnationmedievalhorror,https://store.steampowered.com/app/229190/Painkiller_Hell__Damnation_Medieval_Horror/
12989,Action, 93,painkillerhelldamnationtheclockstrikesmeatnight,https://store.steampowered.com/app/229210/Painkiller_Hell__Damnation_The_Clock_Strikes_Meat_Night/
12990,Action, 100,painkillerhelldamnationsatanclausdlc,https://store.steampowered.com/app/219136/Painkiller_Hell__Damnation_Satan_Claus_DLC/
12991,"Adventure,Indie,RPG", 64,wintervoices,https://store.steampowered.com/app/72900/Winter_Voices/
12992,Simulation, 85,trainsimulatorsouthernpacificsd70mlocoaddon,https://store.steampowered.com/app/222604/Train_Simulator_Southern_Pacific_SD70M_Loco_AddOn/
12993,Simulation, 85,trainsimulatorsheernessbranchextensionrouteaddon,https://store.steampowered.com/app/222603/Train_Simulator_Sheerness_Branch_Extension_Route_AddOn/
12994,"Adventure,Indie,Strategy", Need more user reviews to generate a score,soundofthehumantanks,https://store.steampowered.com/app/271010/Sound_of_the_Human_Tanks/
12995,"Design & Illustration,Education,Software Training,Utilities", Need more user reviews to generate a score,axisgamefactorysagfprofantasysidescrollerplayer,https://store.steampowered.com/app/270941/Axis_Game_Factorys_AGFPRO_Fantasy_SideScroller_Player/
12996,"Action,Free to Play,Indie,Massively Multiplayer,RPG", Need more user reviews to generate a score,realmofthemadgodslimepriestskin,https://store.steampowered.com/app/270740/Realm_of_the_Mad_God_Slime_Priest_Skin/
12997,"Indie,RPG", Need more user reviews to generate a score,lorentheamazonprincessthecastleofnmardlc,https://store.steampowered.com/app/270700/Loren_The_Amazon_Princess__The_Castle_Of_NMar_DLC/
12998,"RPG,Simulation,Strategy", 86,crusaderkingsiisongsofyuletide,https://store.steampowered.com/app/226671/Crusader_Kings_II_Songs_of_Yuletide/
12999,"Action,Casual,Indie,Simulation,Sports", 81,snowhorse,https://store.steampowered.com/app/270030/Snow_Horse/
13000,"Action,Adventure,Indie,RPG", 94,magesinitiationreignoftheelements,https://store.steampowered.com/app/270610/Mages_Initiation_Reign_of_the_Elements/
13001,Action, Need more user reviews to generate a score,tomclancysghostreconfuturesoldierarcticstrikedlc,https://store.steampowered.com/app/212671/Tom_Clancys_Ghost_Recon_Future_Soldier__Arctic_Strike_DLC/
13002,Strategy, Need more user reviews to generate a score,wormsrevolutionmarspack,https://store.steampowered.com/app/200188/Worms_Revolution__Mars_Pack/
13003,Strategy, Need more user reviews to generate a score,wormsrevolutionmedievaltalesdlc,https://store.steampowered.com/app/200185/Worms_Revolution_Medieval_Tales_DLC/
13004,Indie, 87,npcs,https://store.steampowered.com/app/985040/NPCs/
