url,types,name,desc_snippet,genre
https://store.steampowered.com/app/42700/Call_of_Duty_Black_Ops/,app,Call of Duty®: Black Ops,The biggest first-person action series of all time and the follow-up to critically acclaimed Call of Duty®: Modern Warfare 2 returns with Call of Duty®: Black Ops.,Action
https://store.steampowered.com/app/787480/Phoenix_Wright_Ace_Attorney_Trilogy__123/,app,Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,"Become Phoenix Wright and experience the thrill of battle as you fight to save your innocent clients in a court of law. Play all 14 episodes, spanning the first three games, in one gorgeous collection.",Adventure
https://store.steampowered.com/app/785260/Team_Sonic_Racing/,app,Team Sonic Racing™,Team Sonic Racing combines the best elements of arcade and fast-paced competitive style racing as you face-off with friends in intense multiplayer racing.,Racing
https://store.steampowered.com/app/475150/Titan_Quest_Anniversary_Edition/,app,Titan Quest Anniversary Edition,"For its 10 year anniversary, Titan Quest will shine in new splendour. This Anniversary Edition combines both Titan Quest and Titan Quest Immortal Throne in one game, and has been given a massive overhaul for the ultimate ARPG experience.","Action,RPG"
https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV/,app,Grand Theft Auto IV,"What does the American dream mean today? For Niko Bellic fresh off the boat from Europe, it is the hope he can escape from his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity.","Action,Adventure"
https://store.steampowered.com/bundle/234/Portal_Bundle/,bundle,Portal Bundle,Portal Bundle bundle,"Action,Adventure"
https://store.steampowered.com/app/400/Portal/,app,Portal,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",Action
https://store.steampowered.com/app/246900/Viscera_Cleanup_Detail/,app,Viscera Cleanup Detail,"In Viscera Cleanup Detail, you step into the boots of a space-station janitor tasked with cleaning up after various horrific sci-fi horror events. Instead of machineguns and plasma-rifles, your tools are a mop and bucket. That hero left a mess, and it's up to you to deal with the aftermath.","Indie,Simulation"
https://store.steampowered.com/app/704450/Neverwinter_Nights_Enhanced_Edition/,app,Neverwinter Nights: Enhanced Edition,Return to the Forgotten Realms in this bestselling Dungeons & Dragons roleplaying game. Combines all the content of Neverwinter Nights Diamond Edition with all-new enhanced features. Includes 100+ hours of award-winning adventures and the tools to create your own!,RPG
https://store.steampowered.com/app/589360/Ni_no_Kuni_II_Revenant_Kingdom/,app,Ni no Kuni™ II: Revenant Kingdom,"Join the young king Evan as he sets out on an epic quest to found a new kingdom and, with the help of some new friends, unite his world, saving its people from a terrible evil.","Adventure,RPG"
https://store.steampowered.com/app/372000/Tree_of_Savior_English_Ver/,app,Tree of Savior (English Ver.),Tree of Savior(abbreviated as TOS thereafter) is an MMORPG in which you embark on a journey to search for the goddesses in the world of chaos. Fairy-tale like colors accompanied with beautiful graphics in TOS will have you reminiscing about precious moments all throughout the game.,"Free to Play,Massively Multiplayer,RPG"
https://store.steampowered.com/app/414340/Hellblade_Senuas_Sacrifice/,app,Hellblade: Senua's Sacrifice,"From the makers of Heavenly Sword, Enslaved: Odyssey to the West, and DmC: Devil May Cry, comes a warrior’s brutal journey into myth and madness. Set in the Viking age, a broken Celtic warrior embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.","Action,Adventure,Indie"
https://store.steampowered.com/app/413420/Danganronpa_2_Goodbye_Despair/,app,Danganronpa 2: Goodbye Despair,"Jabberwock Island—You and your classmates were ready for fun in the sun until Monokuma returned to restart his murderous game! Trapped in a kill-or-be-killed situation, your only hope rests in solving the island’s mysteries.",Adventure
https://store.steampowered.com/app/638970/Yakuza_0/,app,Yakuza 0,"SEGA’s legendary Japanese series finally comes to PC. Fight like hell through Tokyo and Osaka as junior yakuza Kiryu and Majima. Take a front row seat to 1980s life in Japan in an experience unlike anything else in video gaming, with uncapped framerates and 4K resolutions. A legend is born.","Action,Adventure,RPG"
https://store.steampowered.com/app/641990/The_Escapists_2/,app,The Escapists 2,"Craft, Steal, Brawl and Escape! It’s time to bust out of the toughest prisons in the world as you return to the life of an inmate in The Escapists 2, now with multiplayer! Have you got what it takes to escape?","Indie,Simulation,Strategy"
https://store.steampowered.com/app/6060/Star_Wars_Battlefront_2_Classic_2005/,app,"Star Wars: Battlefront 2 (Classic, 2005)","Join the rise of Darth Vader’s elite 501st Legion of Stormtroopers as you fight through an all new story-based saga where every action you take impacts the battlefront and, ultimately, the fate of the Star Wars galaxy.",Action
https://store.steampowered.com/app/799960/Wizard101/,app,Wizard101,"On our 10th anniversary, join over 50 million Wizards and help save Wizard City! Enroll in the Ravenwood School of Magical Arts, master powerful spells against tough bosses, and explore fantastical worlds across The Spiral!","Free to Play,Massively Multiplayer,RPG"
https://store.steampowered.com/app/532210/Life_is_Strange_2/,app,Life is Strange 2,"After a tragic incident, brothers Sean and Daniel Diaz run away from home. Fearing the police, and dealing with Daniel's new telekinetic power, the boys head to Mexico. Each stop on their journey brings new friends and new challenges.",Adventure
https://store.steampowered.com/app/102500/Kingdoms_of_Amalur_Reckoning/,app,Kingdoms of Amalur: Reckoning™,The Legend of Dead Kel DLC is now available! The legendary pirate Dead Kel and his Hanged Men have returned to haunt the seas of northern Amalur.,"Action,RPG"
https://store.steampowered.com/sub/18397/,sub,Doom Classic Complete,Doom Classic Complete bundle,Action
https://store.steampowered.com/app/56437/Warhammer_40000_Dawn_of_War_II_Retribution/,app,"Warhammer 40,000: Dawn of War II: Retribution",Command any of the six unique factions in the next standalone expansion of the critically acclaimed Dawn of War real-time strategy franchise. Choose to build a massive army or lead a small squad of elite heroes into battle and experience a single player campaign customized to your favorite race.,Strategy
https://store.steampowered.com/app/1038810/GOD_WARS_The_Complete_Legend/,app,GOD WARS The Complete Legend,The latest in full-scale Tactical RPG receiving great reviews all around the world is finally on PC Steam! Enjoy the ensemble cast of heroes who fought in ancient Japan and capture the best in Tactical RPG consisting an overwhelming game volume of 142 battle stages and 160 hours in total play time.,"Adventure,RPG,Simulation"
https://store.steampowered.com/app/240/CounterStrike_Source/,app,Counter-Strike: Source,"Just updated to include player stats, achievements, new scoreboards and more!",Action
https://store.steampowered.com/app/268050/The_Evil_Within/,app,The Evil Within,"Developed by Shinji Mikami -- creator of the seminal Resident Evil series -- and the talented team at Tango Gameworks, The Evil Within embodies the meaning of pure survival horror. Highly-crafted environments, horrifying anxiety, and an intricate story are combined to create an immersive world that will bring you to the height of tension.",Action
